id_buku;isbn;title;penulis_full;tempat;penerbit;year;sinta_id;_sys_date_processed;category;nama_versi_kepegawaian;nama_versi_akademik;jenis_pegawai;jurusan;fakultas
505;9798591135;Kata Dan Istilah Iltek;M.M. Purbo-Hadiwidjoyo, Santi W;Bandung;ITB Press;1994;5981950;2022-11-10 00:07:24;;Santi Wulan Purnami, S.Si., M.Si.;Dr. Santi Wulan Purnami, S.Si., M.Si.;Dosen;Statistika;Fakultas Sains dan Analitika Data
96779;9786025037597;Cipta lingkungan, data kependudukan dan literasi Surabaya;"Sutikno, Soedarso, Novianti Ika Sari ; editor, I Ketut Gunarta ... [et al.]";;PT ITS Tekno Sains;2020;5982112;2022-11-10 00:07:24;;Prof. Dr. Dra. Fahimah Martak, M.Si.;Prof. Dr. Dra. Fahimah Martak, M.Si.;Dosen;Kimia;Fakultas Sains dan Analitika Data
92188;9786029494297;Pengantar teknologi dan operasi produksi minyak dan gas;Mukhtasor;;ITS Press;2012;5983156;2022-11-10 00:07:24;;Prof. Ir. Mukhtasor, M.Eng., Ph.D.;Prof. Ir. Mukhtasor, M.Eng., Ph.D.;Dosen;Teknik Kelautan;Fakultas Teknologi Kelautan
92187;9789794085417;Pencemaran Pesisir dan Laut;Mukhtasor;Jakarta;PT Pradya Paramita;2007;5983156;2022-11-10 00:07:24;;Prof. Ir. Mukhtasor, M.Eng., Ph.D.;Prof. Ir. Mukhtasor, M.Eng., Ph.D.;Dosen;Teknik Kelautan;Fakultas Teknologi Kelautan
17987;60245532949;ANALISA KESTABILAN MULTI GENERATOR DENGAN KONSEP MESIN TUNGGAL;Adi Soeprijanto;Sleman Yogyakarta;DEEPUBLISH;2017;5984035;2022-11-10 00:07:24;;Prof. Dr. Ir Adi Soeprijanto, M.T.;Prof. Dr. Ir. Adi Soeprijanto, M.T.;Dosen;Teknik Elektro;Fakultas Teknologi Elektro dan Informatika Cerdas
30372;9789795450875;PENILAIAN RISIKO PIPA GAS BAWAH LAUT;Prof.Dr. Ketut Buda Artana, ST., M.Sc.,  A.A. Bagus Dinariyana Dwi Putranta, S.T., MES, Ph.D,  Dr. I Made Ariana, ST.,MT.,  Dr.Eng. Kriyo Sambodho, ST., M.Eng;Surabaya;Guna Widya;2013;5984042;2022-11-10 00:07:24;buku referensi;Prof. Dr. Ketut Buda Artana, S.T., M.Sc.;Prof. Dr. Ketut Buda Artana, S.T., M.Sc.;Dosen;Teknik Sistem Perkapalan;Fakultas Teknologi Kelautan
107216;9795450883;Teori keandalan sistem dan aplikasinya;Ketut Buda Artana, A.A. Dinariyana D.P;Surabaya;Guna Widya;2013;5984042;2022-11-10 00:07:24;buku referensi;Prof. Dr. Ketut Buda Artana, S.T., M.Sc.;Prof. Dr. Ketut Buda Artana, S.T., M.Sc.;Dosen;Teknik Sistem Perkapalan;Fakultas Teknologi Kelautan
107217;9793557593;Transportasi LNG Indonesia;Soegiono, Ketut Buda Artana;Surabaya;Airlangga Press;2006;5984042;2022-11-10 00:07:24;buku referensi;Prof. Dr. Ketut Buda Artana, S.T., M.Sc.;Prof. Dr. Ketut Buda Artana, S.T., M.Sc.;Dosen;Teknik Sistem Perkapalan;Fakultas Teknologi Kelautan
40975;9786027391468;Erspektif pengembangan wilayah dan kota;"ditor: Eko Budi Santoso; Prananda Navitas";;Teknosain;2016;5984094;2022-11-10 00:07:24;;Rulli Pratiwi Setiawan, S.T., M.Sc.;Rulli Pratiwi Setiawan, S.T., M.Sc., Ph.D.;Dosen;Perencanaan Wilayah dan Kota;Fakultas Teknik Sipil, Perencanaan, dan Kebumian
51363;9783319709567;Toward Reduction of Conservation Equations in Curvilinear Coordinate Systems into a Set of ODEs Using the Method of Characteristics;Gunawan Nugroho, Totok R. Biyanto;;Springer International Publishing;2018;5984470;2022-11-10 00:07:24;;Prof. Totok Ruki Biyanto, S.T., M.T., Ph.D.;Prof. Totok Ruki Biyanto, S.T., M.T., Ph.D.;Dosen;Teknik Fisika;Fakultas Teknologi Industri dan Rekayasa Sistem
